url,title,typeName,text
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 1. Hakimiyyətin mənbəyi
 
I. Azərbaycan
Respublikasında dövlət hakimiyyətinin yeganə
mənbəyi Azərbaycan xalqıdır.
II. Azərbaycan
xalqı Azərbaycan Respublikası ərazisində və ondan
kənarda yaşayan, Azərbaycan dövlətinə və
onun qanunlarına tabe sayılan Azərbaycan Respublikası vətəndaşlarından
ibarətdir; bu isə beynəlxalq hüquqla
müəyyənləşdirilmiş normaları istisna etmir.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 2. Xalqın suverenliyi
 
I. Sərbəst
və müstəqil öz müqəddəratını
həll etmək və öz idarəetmə formasını
müəyyən etmək Azərbaycan xalqının suveren hüququdur.
II. Azərbaycan
xalqı öz suveren hüququnu bilavasitə ümumxalq
səsverməsi - referendum və ümumi, bərabər və
birbaşa seçki hüququ əsasında sərbəst,
gizli və şəxsi səsvermə yolu ilə
seçilmiş nümayəndələri vasitəsilə
həyata keçirir.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 3. Ümumxalq səsverməsi - referendum yolu ilə
həll edilən məsələlər
 
I. Azərbaycan
xalqı öz hüquqları və mənafeləri ilə
bağlı olan hər bir məsələni referendumla
həll edə bilər.
II.
Aşağıdakı məsələlər yalnız
referendumla həll oluna bilər:
1) Azərbaycan
Respublikası Konstitusiyasının qəbul edilməsi və
ona dəyişikliklər edilməsi;
2) Azərbaycan
Respublikasının dövlət sərhədlərinin
dəyişdirilməsi.
III.
Aşağıdakı məsələlər üzrə
referendum keçirilə bilməz:
1) vergilər və
dövlət büdcəsi;
2) amnistiya və
əfv etmə;
3) seçilməsi,
təyin edilməsi və ya təsdiq edilməsi müvafiq
olaraq qanunvericilik və (və ya) icra hakimiyyəti orqanlarının
səlahiyyətlərinə aid edilmiş vəzifəli
şəxslərin seçilməsi, təyin edilməsi
və ya təsdiq edilməsi.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 4. Xalqı təmsil etmək hüququ
 
Xalqın seçdiyi
səlahiyyətli nümayəndələrindən başqa
heç kəsin xalqı təmsil etmək, xalqın
adından danışmaq və xalqın adından
müraciət etmək hüququ yoxdur.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 5. Xalqın vahidliyi
 
I. Azərbaycan
xalqı vahiddir.
II. Azərbaycan
xalqının vahidliyi Azərbaycan dövlətinin
təməlini təşkil edir. Azərbaycan Respublikası
bütün Azərbaycan Respublikası
vətəndaşlarının ümumi və
bölünməz vətənidir.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 6. Hakimiyyətin mənimsənilməsinə yol
verilməməsi
 
I. Azərbaycan
xalqının heç bir hissəsi, sosial qrup, təşkilat
və ya heç bir şəxs hakimiyyətin həyata
keçirilməsi səlahiyyətini mənimsəyə
bilməz.
II. Hakimiyyətin
mənimsənilməsi xalqa qarşı ən ağır
cinayətdir.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 7. Azərbaycan dövləti
 
I. Azərbaycan
dövləti demokratik, hüquqi, dünyəvi, unitar
respublikadır.
II. Azərbaycan
Respublikasında dövlət hakimiyyəti daxili
məsələlərdə yalnız hüquqla, xarici
məsələlərdə isə yalnız Azərbaycan
Respublikasının tərəfdar çıxdığı
beynəlxalq müqavilələrdən irəli gələn
müddəalarla məhdudlaşır.
III. Azərbaycan
Respublikasında dövlət hakimiyyəti
hakimiyyətlərin bölünməsi prinsipi əsasında
təşkil edilir:
- qanunvericilik
hakimiyyətini Azərbaycan Respublikasının Milli Məclisi
həyata keçirir;
- icra hakimiyyəti
Azərbaycan Respublikasının Prezidentinə mənsubdur;
- məhkəmə
hakimiyyətini Azərbaycan Respublikasının
məhkəmələri həyata keçirir.
IV. Bu Konstitusiyanın
müddəalarına əsasən qanunvericilik, icra və
məhkəmə hakimiyyətləri qarşılıqlı
fәaliyyәt göstərir və öz səlahiyyətləri
çərçivəsində müstəqildirlər.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 8. Azərbaycan dövlətinin başçısı
 
I. Azərbaycan
dövlətinin başçısı Azərbaycan Respublikasının
Prezidentidir. O, ölkənin daxilində və xarici
münasibətlərdə Azərbaycan dövlətini
təmsil edir.
II. Azərbaycan
Respublikasının Prezidenti Azərbaycan xalqının
vahidliyini təcəssüm etdirir və Azərbaycan
dövlətçiliyinin varisliyini təmin edir.
III. Azərbaycan
Respublikasının Prezidenti Azərbaycan dövlətinin
müstəqilliyinin, ərazi bütövlüyünün
və Azərbaycan Respublikasının tərəfdar
çıxdığı beynəlxalq
müqavilələrə riayət olunmasının
təminatçısıdır.
IV. Azərbaycan
Respublikasının Prezidenti məhkəmə hakimiyyətinin
müstəqilliyinin təminatçısıdır.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 9. Silahlı Qüvvələr
 
I.
Azərbaycan Respublikası öz təhlükəsizliyini
və müdafiəsini təmin etmək məqsədi ilə
Silahlı Qüvvələr yaradır. Silahlı
Qüvvələr Azərbaycan Ordusundan və başqa
silahlı birləşmələrdən ibarətdir.[1]
II. Azərbaycan
Respublikası başqa dövlətlərin
müstəqilliyinə qəsd vasitəsi kimi və
beynəlxalq münaqişələrin həlli üsulu kimi
müharibəni rədd edir.
III. Azərbaycan
Respublikasının Prezidenti Azərbaycan Respublikası
Silahlı Qüvvələrinin Ali Baş Komandanıdır.
 "
https://e-qanun.az/framework/897,Azərbaycan Respublikasının Konstitusiyası,Konstitusiya,"Maddə 10. Beynəlxalq münasibətlərin prinsipləri 
 
Azərbaycan
Respublikası başqa dövlətlərlə
münasibətlərini hamılıqla qəbul edilmiş
beynəlxalq hüquq normalarında nəzərdə tutulan
prinsiplər əsasında qurur.
 "
